Welcome to the store!
-------- day 0 --------
name, sellIn, quality
Set of teacups, -4, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 6, 33
Backstage passes to concert, 1, 50
Backstage passes to concert, -4, 0
Fresh apples, -6, 0

-------- day 10 --------
name, sellIn, quality
Ornamental vase, 0, 10
Aged Brie, -8, 18
Set of teacups, -5, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 5, 35
Backstage passes to concert, 0, 50
Backstage passes to concert, -5, 0
Fresh apples, -7, 0

-------- day 11 --------
name, sellIn, quality
Ornamental vase, -1, 8
Aged Brie, -9, 20
Set of teacups, -6, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 4, 38
Backstage passes to concert, -1, 0
Backstage passes to concert, -6, 0
Fresh apples, -8, 0

-------- day 12 --------
name, sellIn, quality
Ornamental vase, -2, 6
Aged Brie, -10, 22
Set of teacups, -7, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 3, 41
Backstage passes to concert, -2, 0
Backstage passes to concert, -7, 0
Fresh apples, -9, 0

-------- day 13 --------
name, sellIn, quality
Ornamental vase, -3, 4
Aged Brie, -11, 24
Set of teacups, -8, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 2, 44
Backstage passes to concert, -3, 0
Backstage passes to concert, -8, 0
Fresh apples, -10, 0

-------- day 14 --------
name, sellIn, quality
Ornamental vase, -4, 2
Aged Brie, -12, 26
Set of teacups, -9, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 1, 47
Backstage passes to concert, -4, 0
Backstage passes to concert, -9, 0
Fresh apples, -11, 0

-------- day 15 --------
name, sellIn, quality
Ornamental vase, -5, 0
Aged Brie, -13, 28
Set of teacups, -10, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 0, 50
Backstage passes to concert, -5, 0
Backstage passes to concert, -10, 0
Fresh apples, -12, 0

-------- day 16 --------
name, sellIn, quality
Ornamental vase, -6, 0
Aged Brie, -14, 30
Set of teacups, -11, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -1, 0
Backstage passes to concert, -6, 0
Backstage passes to concert, -11, 0
Fresh apples, -13, 0

-------- day 17 --------
name, sellIn, quality
Ornamental vase, -7, 0
Aged Brie, -15, 32
Set of teacups, -12, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -2, 0
Backstage passes to concert, -7, 0
Backstage passes to concert, -12, 0
Fresh apples, -14, 0

-------- day 18 --------
name, sellIn, quality
Ornamental vase, -8, 0
Aged Brie, -16, 34
Set of teacups, -13, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -3, 0
Backstage passes to concert, -8, 0
Backstage passes to concert, -13, 0
Fresh apples, -15, 0

-------- day 19 --------
name, sellIn, quality
Ornamental vase, -9, 0
Aged Brie, -17, 36
Set of teacups, -14, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -4, 0
Backstage passes to concert, -9, 0
Backstage passes to concert, -14, 0
Fresh apples, -16, 0

-------- day 20 --------
name, sellIn, quality
Ornamental vase, -10, 0
Aged Brie, -18, 38
Set of teacups, -15, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -5, 0
Backstage passes to concert, -10, 0
Backstage passes to concert, -15, 0
Fresh apples, -17, 0

-------- day 21 --------
name, sellIn, quality
Ornamental vase, -11, 0
Aged Brie, -19, 40
Set of teacups, -16, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -6, 0
Backstage passes to concert, -11, 0
Backstage passes to concert, -16, 0
Fresh apples, -18, 0

-------- day 22 --------
name, sellIn, quality
Ornamental vase, -12, 0
Aged Brie, -20, 42
Set of teacups, -17, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -7, 0
Backstage passes to concert, -12, 0
Backstage passes to concert, -17, 0
Fresh apples, -19, 0

-------- day 23 --------
name, sellIn, quality
Ornamental vase, -13, 0
Aged Brie, -21, 44
Set of teacups, -18, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -8, 0
Backstage passes to concert, -13, 0
Backstage passes to concert, -18, 0
Fresh apples, -20, 0

-------- day 24 --------
name, sellIn, quality
Ornamental vase, -14, 0
Aged Brie, -22, 46
Set of teacups, -19, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -9, 0
Backstage passes to concert, -14, 0
Backstage passes to concert, -19, 0
Fresh apples, -21, 0

-------- day 25 --------
name, sellIn, quality
Ornamental vase, -15, 0
Aged Brie, -23, 48
Set of teacups, -20, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -10, 0
Backstage passes to concert, -15, 0
Backstage passes to concert, -20, 0
Fresh apples, -22, 0

-------- day 26 --------
name, sellIn, quality
Ornamental vase, -16, 0
Aged Brie, -24, 50
Set of teacups, -21, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -11, 0
Backstage passes to concert, -16, 0
Backstage passes to concert, -21, 0
Fresh apples, -23, 0

-------- day 27 --------
name, sellIn, quality
Ornamental vase, -17, 0
Aged Brie, -25, 50
Set of teacups, -22, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -12, 0
Backstage passes to concert, -17, 0
Backstage passes to concert, -22, 0
Fresh apples, -24, 0

-------- day 28 --------
name, sellIn, quality
Ornamental vase, -18, 0
Aged Brie, -26, 50
Set of teacups, -23, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -13, 0
Backstage passes to concert, -18, 0
Backstage passes to concert, -23, 0
Fresh apples, -25, 0

-------- day 29 --------
name, sellIn, quality
Ornamental vase, -19, 0
Aged Brie, -27, 50
Set of teacups, -24, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -14, 0
Backstage passes to concert, -19, 0
Backstage passes to concert, -24, 0
Fresh apples, -26, 0

-------- day 30 --------
name, sellIn, quality
Ornamental vase, -20, 0
Aged Brie, -28, 50
Set of teacups, -25, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, -15, 0
Backstage passes to concert, -20, 0
Backstage passes to concert, -25, 0
Fresh apples, -27, 0

